Agent Name,Agent_ID,Agent Extension,Report Period,Calls Presented,Calls Handled,Calls Abandoned,Total Logged In Time,Average Logged In Time,Not Ready Time,Not Ready Time (%),Ready Time,Ready Time (%),Reserved Time,Reserved Time (%),Talk Time,Talk Time (%),Work Time,Work Time (%),Avg Handle Time,Max Handle Time,Avg Talk Time,Max Talk Time,Avg Hold Time,Max Hold Time,Avg Work Time,Max Work Time,Avg Idle Time,Max Idle Time,Handle Ratio,Total Inbound,Inbound ACD-Total,Inbound ACD-Avg Talk Time,Inbound ACD-Avg Hold Time,Inbound ACD-Avg Work Time,Inbound Non-ACD On IPCC-Total,Inbound Non-ACD On IPCC-Avg Talk Time,Inbound Non-ACD On IPCC-Max Talk Time,Inbound Non-ACD On Non-IPCC-Total,Inbound Non-ACD On Non-IPCC-Avg Talk Time,Inbound Non-ACD On Non-IPCC-Max Talk Time,Outbound On IPCC-Total,Outbound On IPCC-Avg Call Time,Outbound On IPCC-Max Call Time,Outbound On Non-IPCC-Total,Outbound On Non-IPCC-Avg Call Time,Outbound On Non-IPCC-Max Call Time,ACD-Transfer In,Non-ACD-Transfer In,ACD-Transfer Out,Non-ACD-Transfer Out,ACD-Conference,Non-ACD-Conference
Laura Taylor,A1001,2001,April 2026,198,189,9,183:33:59,08:20:38,14:49:08,8.07,158:22:40,86.28,00:26:02,0.24,07:46:31,4.24,02:09:38,1.18,00:03:17,00:06:19,00:02:28,00:04:44,00:00:08,00:00:23,00:00:41,00:01:38,00:19:11,00:52:49,0.9545,199,198,00:02:28,00:00:08,00:00:41,1,00:01:07,00:01:29,0,00:00:00,00:00:00,7,00:04:28,00:09:01,0,00:00:00,00:00:00,6,0,3,1,1,1
Ryan Smith,A1002,2002,April 2026,219,211,8,195:17:55,08:29:28,27:17:46,13.98,157:03:49,80.42,00:24:27,0.21,06:45:10,3.46,03:46:43,1.93,00:03:10,00:07:59,00:01:55,00:04:15,00:00:10,00:00:25,00:01:04,00:02:12,00:30:48,01:16:00,0.9635,221,219,00:01:55,00:00:10,00:01:04,2,00:00:53,00:01:18,0,00:00:00,00:00:00,6,00:02:21,00:04:05,0,00:00:00,00:00:00,0,0,5,1,1,1
Emma Turner,A1003,2003,April 2026,177,168,9,187:13:20,07:48:03,20:52:23,11.15,156:06:35,83.38,00:17:52,0.16,07:20:38,3.92,02:35:52,1.39,00:03:51,00:09:21,00:02:37,00:04:16,00:00:18,00:00:51,00:00:56,00:01:58,00:24:20,00:51:54,0.9492,179,177,00:02:37,00:00:18,00:00:56,2,00:00:56,00:01:27,0,00:00:00,00:00:00,14,00:04:48,00:09:03,0,00:00:00,00:00:00,0,1,2,1,0,0
Emma Wilson,A1004,2004,April 2026,241,230,11,191:48:03,08:43:06,13:29:12,7.03,163:05:31,85.03,00:22:35,0.2,13:22:19,6.97,01:28:28,0.77,00:03:57,00:07:22,00:03:29,00:05:36,00:00:04,00:00:12,00:00:23,00:00:58,00:13:03,00:29:13,0.9544,242,241,00:03:29,00:00:04,00:00:23,1,00:01:47,00:02:57,0,00:00:00,00:00:00,19,00:05:51,00:08:46,0,00:00:00,00:00:00,0,0,3,0,2,0
Megan Smith,A1005,2005,April 2026,167,160,7,188:28:57,08:11:42,27:04:09,14.36,151:25:25,80.34,00:23:23,0.21,07:43:57,4.1,01:52:03,0.99,00:03:46,00:06:03,00:02:54,00:06:39,00:00:10,00:00:27,00:00:42,00:01:46,00:28:10,00:52:45,0.9581,172,167,00:02:54,00:00:10,00:00:42,5,00:01:12,00:01:40,0,00:00:00,00:00:00,9,00:02:43,00:04:20,0,00:00:00,00:00:00,2,1,4,0,2,1
Brian Taylor,A1006,2006,April 2026,249,243,6,190:39:51,07:56:40,13:05:12,6.86,159:35:08,83.7,00:26:17,0.23,13:33:24,7.11,03:59:50,2.1,00:04:27,00:09:23,00:03:21,00:07:38,00:00:07,00:00:22,00:00:59,00:01:49,00:14:35,00:42:35,0.9759,254,249,00:03:21,00:00:07,00:00:59,5,00:01:35,00:02:36,0,00:00:00,00:00:00,16,00:07:47,00:13:32,0,00:00:00,00:00:00,1,0,2,0,1,1
James Smith,A1007,2007,April 2026,241,229,12,194:42:07,08:27:55,27:21:03,14.05,155:15:04,79.74,00:25:54,0.22,08:11:51,4.21,03:28:15,1.78,00:03:10,00:05:35,00:02:09,00:03:22,00:00:06,00:00:24,00:00:55,00:02:15,00:27:56,01:03:40,0.9502,242,241,00:02:09,00:00:06,00:00:55,1,00:02:05,00:02:46,0,00:00:00,00:00:00,9,00:01:58,00:03:43,0,00:00:00,00:00:00,2,1,2,1,1,0
Bheki Ndlovu,A1008,2008,April 2026,240,233,7,188:16:58,07:50:42,20:39:54,10.98,157:55:14,83.87,00:19:15,0.17,07:19:21,3.89,02:03:14,1.09,00:02:33,00:05:44,00:01:53,00:03:12,00:00:08,00:00:27,00:00:32,00:00:54,00:20:00,00:40:54,0.9708,244,240,00:01:53,00:00:08,00:00:32,4,00:00:50,00:01:06,0,00:00:00,00:00:00,13,00:05:21,00:07:59,0,00:00:00,00:00:00,4,0,5,1,2,1
Thandiwe Zulu,A1009,2009,April 2026,211,202,9,185:38:45,07:44:07,27:33:01,14.84,144:09:50,77.66,00:22:26,0.2,10:31:15,5.67,03:02:13,1.64,00:04:16,00:08:40,00:03:07,00:06:26,00:00:15,00:00:44,00:00:54,00:02:16,00:27:18,01:15:30,0.9573,211,211,00:03:07,00:00:15,00:00:54,0,00:00:00,00:00:00,0,00:00:00,00:00:00,25,00:05:01,00:11:57,0,00:00:00,00:00:00,5,0,0,0,0,0
Thandiwe Mahlangu,A1010,2010,April 2026,169,161,8,185:00:25,07:42:31,13:08:39,7.1,165:35:37,89.51,00:26:21,0.24,04:59:38,2.7,00:50:10,0.45,00:02:23,00:05:27,00:01:52,00:03:31,00:00:13,00:00:26,00:00:19,00:00:45,00:13:03,00:34:38,0.9527,173,169,00:01:52,00:00:13,00:00:19,4,00:00:56,00:01:33,0,00:00:00,00:00:00,19,00:02:38,00:03:55,0,00:00:00,00:00:00,2,0,5,0,1,1
Bheki Khumalo,A1011,2011,April 2026,191,185,6,184:15:23,07:40:38,23:00:48,12.49,152:33:24,82.8,00:19:13,0.17,05:47:53,3.15,02:34:05,1.39,00:02:55,00:05:15,00:01:53,00:03:43,00:00:12,00:00:33,00:00:50,00:01:53,00:23:18,01:06:34,0.9686,192,191,00:01:53,00:00:12,00:00:50,1,00:00:46,00:01:02,0,00:00:00,00:00:00,12,00:07:48,00:11:47,0,00:00:00,00:00:00,1,1,2,1,3,1
Ntombi Khumalo,A1012,2012,April 2026,266,260,6,194:05:49,08:49:21,28:16:54,14.57,144:40:01,74.53,00:31:11,0.27,16:24:43,8.46,04:13:00,2.17,00:04:57,00:09:22,00:03:47,00:05:55,00:00:12,00:00:35,00:00:58,00:02:31,00:25:46,01:03:19,0.9774,267,266,00:03:47,00:00:12,00:00:58,1,00:00:54,00:01:13,0,00:00:00,00:00:00,20,00:02:43,00:04:52,0,00:00:00,00:00:00,4,1,0,1,1,1
Nomvula Mahlangu,A1013,2013,April 2026,302,292,10,188:57:22,08:12:56,20:16:15,10.73,151:34:18,80.22,00:32:54,0.29,13:29:43,7.14,03:04:12,1.62,00:03:34,00:08:17,00:02:46,00:05:05,00:00:09,00:00:26,00:00:38,00:01:05,00:23:43,00:55:46,0.9669,304,302,00:02:46,00:00:09,00:00:38,2,00:02:21,00:03:16,0,00:00:00,00:00:00,10,00:05:57,00:14:13,0,00:00:00,00:00:00,2,1,2,0,3,1
Sipho Mahlangu,A1014,2014,April 2026,227,218,9,190:31:47,08:39:38,13:37:47,7.15,167:16:21,87.79,00:17:20,0.15,07:02:07,3.69,02:18:12,1.21,00:02:51,00:04:43,00:01:56,00:03:56,00:00:17,00:00:56,00:00:38,00:01:07,00:12:31,00:31:48,0.9604,229,227,00:01:56,00:00:17,00:00:38,2,00:01:07,00:01:44,0,00:00:00,00:00:00,17,00:07:10,00:16:27,0,00:00:00,00:00:00,5,1,4,0,0,0
Refilwe Tau,A1015,2015,April 2026,182,176,6,183:31:41,07:38:49,20:50:43,11.36,150:43:41,82.13,00:24:20,0.22,08:15:26,4.5,03:17:31,1.79,00:04:06,00:07:05,00:02:49,00:05:17,00:00:10,00:00:26,00:01:07,00:02:08,00:20:45,01:11:49,0.967,184,182,00:02:49,00:00:10,00:01:07,2,00:01:32,00:02:15,0,00:00:00,00:00:00,19,00:04:50,00:08:51,0,00:00:00,00:00:00,1,0,0,0,3,0
Thabo Molefe,A1016,2016,April 2026,180,175,5,188:51:32,08:35:04,16:51:39,8.93,161:19:00,85.42,00:23:58,0.21,07:11:26,3.81,03:05:30,1.64,00:03:44,00:07:15,00:02:28,00:03:53,00:00:13,00:00:31,00:01:04,00:01:58,00:17:54,00:59:12,0.9722,185,180,00:02:28,00:00:13,00:01:04,5,00:02:25,00:03:48,0,00:00:00,00:00:00,20,00:02:20,00:03:58,0,00:00:00,00:00:00,6,0,3,1,2,0
Thabo Mofokeng,A1017,2017,April 2026,176,170,6,184:30:08,08:01:19,27:37:49,14.98,147:03:56,79.71,00:17:31,0.16,07:42:33,4.18,01:48:19,0.98,00:03:42,00:07:23,00:02:43,00:05:03,00:00:20,00:01:19,00:00:38,00:01:34,00:26:14,00:48:11,0.9659,176,176,00:02:43,00:00:20,00:00:38,0,00:00:00,00:00:00,0,00:00:00,00:00:00,17,00:05:55,00:14:07,0,00:00:00,00:00:00,3,1,0,0,3,1
Tshepo Sebeko,A1018,2018,April 2026,277,269,8,185:18:32,07:43:16,24:05:15,13.0,143:40:36,77.53,00:34:08,0.31,13:08:14,7.09,03:50:19,2.07,00:03:56,00:09:04,00:02:56,00:06:23,00:00:09,00:00:35,00:00:51,00:01:27,00:23:39,00:42:38,0.9711,278,277,00:02:56,00:00:09,00:00:51,1,00:01:12,00:02:19,0,00:00:00,00:00:00,24,00:05:57,00:14:39,0,00:00:00,00:00:00,5,1,4,1,0,0
Neo Molefe,A1019,2019,April 2026,256,247,9,186:32:05,08:28:44,22:45:03,12.2,149:26:04,80.11,00:38:19,0.34,09:44:53,5.23,03:57:46,2.12,00:03:33,00:07:35,00:02:22,00:05:26,00:00:13,00:00:33,00:00:58,00:01:51,00:21:51,00:48:20,0.9648,260,256,00:02:22,00:00:13,00:00:58,4,00:01:12,00:01:46,0,00:00:00,00:00:00,17,00:05:53,00:10:14,0,00:00:00,00:00:00,0,0,3,1,0,1
Kabelo Mokoena,A1020,2020,April 2026,226,219,7,187:17:43,08:08:36,24:41:09,13.18,152:54:12,81.64,00:37:48,0.34,06:20:13,3.38,02:44:20,1.46,00:02:45,00:06:17,00:01:44,00:02:53,00:00:16,00:00:57,00:00:45,00:01:45,00:26:53,00:57:45,0.969,227,226,00:01:44,00:00:16,00:00:45,1,00:01:21,00:02:32,0,00:00:00,00:00:00,11,00:04:10,00:07:03,0,00:00:00,00:00:00,2,0,4,1,1,0
Refilwe Sebeko,A1021,2021,April 2026,183,174,9,193:00:25,08:46:23,13:43:49,7.11,169:01:16,87.57,00:24:03,0.21,07:18:20,3.79,02:32:58,1.32,00:03:35,00:09:14,00:02:31,00:04:04,00:00:11,00:00:24,00:00:53,00:01:28,00:15:39,00:52:03,0.9508,185,183,00:02:31,00:00:11,00:00:53,2,00:02:09,00:04:18,0,00:00:00,00:00:00,9,00:03:12,00:05:07,0,00:00:00,00:00:00,4,1,0,1,3,1
